timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-11,25.39,25.48,25.31,25.32,25.32,78853,0.0000,1.0
2022-11-10,25.4,25.62,25.33,25.44,25.44,183213,0.0000,1.0
2022-11-09,25.3,25.3799,25.21,25.25,25.25,294503,0.0000,1.0
2022-11-08,25.25,25.37,25.25,25.35,25.35,106075,0.0000,1.0
2022-11-07,25.2,25.29,25.11,25.28,25.28,109452,0.0000,1.0
2022-11-04,25.19,25.23,25.1,25.19,25.19,69432,0.0000,1.0
2022-11-03,25.09,25.19,25.07,25.17,25.17,138789,0.0000,1.0
2022-11-02,25.17,25.24,25.06,25.15,25.15,205869,0.0000,1.0
2022-11-01,25.02,25.15,24.98,25.11,25.11,183532,0.0000,1.0
2022-10-31,25.04,25.08,24.94,24.96,24.96,2189731,0.0000,1.0
2022-10-28,24.94,25.0208,24.94,25.0,25.0,231192,0.0000,1.0
2022-10-27,24.96,24.99,24.93,24.94,24.94,220591,0.0000,1.0
2022-10-26,24.98,25.07,24.93,24.95,24.95,295160,0.0000,1.0
2022-10-25,24.92,24.99,24.92,24.99,24.99,182689,0.0000,1.0
2022-10-24,24.99,24.99,24.88,24.91,24.91,204045,0.0000,1.0
2022-10-21,24.94,25.03,24.9,24.91,24.91,153435,0.0000,1.0
2022-10-20,25.04,25.08,24.91,24.96,24.96,187174,0.0000,1.0
2022-10-19,25.02,25.06,24.93,25.04,25.04,161015,0.0000,1.0
2022-10-18,25.09,25.17,24.97,25.02,25.02,101393,0.0000,1.0
2022-10-17,25.09,25.21,25.02,25.07,25.07,117678,0.0000,1.0
2022-10-14,25.06,25.0716,24.97,25.02,25.02,82009,0.0000,1.0
2022-10-13,24.98,25.1358,24.89,25.04,25.04,129840,0.0000,1.0
2022-10-12,25.09,25.14,25.01,25.04,25.04,126078,0.0000,1.0
2022-10-11,25.4,25.4,25.1,25.12,25.12,130011,0.0000,1.0
2022-10-10,25.38,25.44,25.25,25.42,25.42,54817,0.0000,1.0
2022-10-07,25.4,25.43,25.318,25.43,25.43,27870,0.0000,1.0
2022-10-06,25.37,25.5073,25.32,25.43,25.43,51209,0.0000,1.0
2022-10-05,25.47,25.532,25.4,25.42,25.42,61218,0.0000,1.0
2022-10-04,25.7,25.75,25.53,25.55,25.55,77705,0.0000,1.0
2022-10-03,25.74,25.77,25.61,25.69,25.69,63011,0.0000,1.0
2022-09-30,25.78,25.85,25.559,25.63,25.63,312979,0.0000,1.0
2022-09-29,25.64,25.73,25.53,25.65,25.65,65656,0.0000,1.0
2022-09-28,25.63,25.75,25.6247,25.71,25.71,102437,0.0000,1.0
2022-09-27,25.51,25.72,25.46,25.66,25.66,90024,0.0000,1.0
2022-09-26,25.4,25.58,25.4,25.56,25.56,60672,0.0000,1.0
2022-09-23,25.42,25.51,25.35,25.4413,25.4413,91859,0.0000,1.0
2022-09-22,25.5,25.5,25.35,25.38,25.38,80709,0.0000,1.0
2022-09-21,25.35,25.56,25.3287,25.525,25.525,63788,0.0000,1.0
2022-09-20,25.22,25.4403,25.22,25.4,25.4,59147,0.0000,1.0
2022-09-19,25.62,25.63,25.37,25.37,25.37,93617,0.4453,1.0
2022-09-16,25.96,26.07,25.88,25.98,25.5318466511,42787,0.0000,1.0
2022-09-15,26.11,26.15,26.03,26.06,25.6104666562,41093,0.0000,1.0
2022-09-14,26.09,26.13,25.98,26.13,25.6792591606,41741,0.0000,1.0
2022-09-13,25.94,26.05,25.8645,26.05,25.6006391555,67979,0.0000,1.0
